Weight IDs and Descriptions from LHERunInfoProduct:
----------------------------------------
Weight ID: reference_point, Value: 0.188727, Description: N/A
Weight ID: EFTrwgt16_ctGIm_m0p142_ctGRe_0p595_cQj38_2p887_cQj18_m0p962_cQu8_1p224_cQd8_1p528_ctj8_m0p923_ctu8_m2p468_ctd8_0p373_cQj31_0p486_cQj11_0p407_cQu1_2p608_cQd1_0p981_ctj1_2p196_ctu1_m1p234_ctd1_m2p941, Value: 0.0991373, Description: N/A
Weight ID: EFTrwgt17_ctGIm_m0p47_ctGRe_m0p199_cQj38_m1p665_cQj18_m1p542_cQu8_0p962_cQd8_m1p023_ctj8_1p751_ctu8_1p187_ctd8_m2p764_cQj31_m2p213_cQj11_m2p901_cQu1_2p789_cQd1_m2p628_ctj1_0p581_ctu1_1p14_ctd1_1p852, Value: 0.0205003, Description: N/A
Weight ID: EFTrwgt18_ctGIm_0p234_ctGRe_m0p206_cQj38_m1p161_cQj18_2p498_cQu8_1p946_cQd8_m1p781_ctj8_m1p332_ctu8_0p081_ctd8_1p919_cQj31_2p499_cQj11_m2p59_cQu1_m0p683_cQd1_2p774_ctj1_m0p355_ctu1_1p509_ctd1_m0p781, Value: 0.0943601, Description: N/A
Weight ID: EFTrwgt19_ctGIm_0p783_ctGRe_m0p223_cQj38_1p586_cQj18_m2p657_cQu8_2p875_cQd8_2p355_ctj8_2p287_ctu8_0p886_ctd8_1p217_cQj31_2p312_cQj11_1p117_cQu1_m2p962_cQd1_0p562_ctj1_m0p503_ctu1_0p844_ctd1_1p455, Value: 0.191671, Description: N/A
Weight ID: EFTrwgt20_ctGIm_m0p156_ctGRe_m0p32_cQj38_m1p435_cQj18_m0p694_cQu8_2p603_cQd8_2p491_ctj8_2p449_ctu8_m0p942_ctd8_m2p398_cQj31_0p376_cQj11_m1p102_cQu1_m2p126_cQd1_m0p773_ctj1_m0p734_ctu1_0p997_ctd1_m0p562, Value: 0.0824176, Description: N/A
Weight ID: EFTrwgt21_ctGIm_m0p665_ctGRe_0p755_cQj38_1p603_cQj18_m0p473_cQu8_m2p157_cQd8_m0p194_ctj8_2p491_ctu8_m2p304_ctd8_2p041_cQj31_1p423_cQj11_2p285_cQu1_m2p415_cQd1_1p106_ctj1_m0p564_ctu1_1p697_ctd1_m0p129, Value: 0.0648632, Description: N/A
Weight ID: EFTrwgt22_ctGIm_0p191_ctGRe_0p225_cQj38_m2p318_cQj18_m1p188_cQu8_m2p868_cQd8_0p299_ctj8_m0p979_ctu8_m1p415_ctd8_m0p687_cQj31_m2p336_cQj11_m0p988_cQu1_0p96_cQd1_m2p305_ctj1_2p842_ctu1_m1p449_ctd1_m1p924, Value: 0.181216, Description: N/A
Weight ID: EFTrwgt23_ctGIm_0p818_ctGRe_m0p282_cQj38_m1p756_cQj18_m2p685_cQu8_m2p211_cQd8_0p523_ctj8_2p887_ctu8_m0p582_ctd8_m1p981_cQj31_m1p792_cQj11_2p487_cQu1_2p809_cQd1_m0p839_ctj1_2p391_ctu1_m2p239_ctd1_m2p066, Value: 0.10598, Description: N/A
Weight ID: EFTrwgt24_ctGIm_m0p888_ctGRe_0p626_cQj38_m2p233_cQj18_1p239_cQu8_0p258_cQd8_2p707_ctj8_m2p992_ctu8_2p441_ctd8_1p33_cQj31_1p838_cQj11_m0p837_cQu1_2p548_cQd1_m0p628_ctj1_1p198_ctu1_1p084_ctd1_m0p17, Value: 0.121388, Description: N/A
Weight ID: EFTrwgt25_ctGIm_m0p501_ctGRe_m0p661_cQj38_1p445_cQj18_m0p786_cQu8_0p136_cQd8_0p53_ctj8_m2p682_ctu8_m1p947_ctd8_m1p756_cQj31_m0p578_cQj11_m0p419_cQu1_m0p654_cQd1_1p991_ctj1_m1p909_ctu1_2p27_ctd1_m1p291, Value: 0.0487314, Description: N/A
Weight ID: EFTrwgt26_ctGIm_m0p433_ctGRe_m0p975_cQj38_1p538_cQj18_m2p852_cQu8_m1p081_cQd8_2p984_ctj8_1p396_ctu8_m0p022_ctd8_2p941_cQj31_2p434_cQj11_1p052_cQu1_2p842_cQd1_m0p091_ctj1_2p627_ctu1_m1p543_ctd1_2p317, Value: 0.274956, Description: N/A
Weight ID: EFTrwgt27_ctGIm_m0p674_ctGRe_0p874_cQj38_m0p356_cQj18_m0p241_cQu8_m0p201_cQd8_0p292_ctj8_0p241_ctu8_m1p905_ctd8_0p892_cQj31_2p991_cQj11_m2p717_cQu1_m1p722_cQd1_m0p735_ctj1_1p393_ctu1_2p457_ctd1_0p637, Value: 0.0459563, Description: N/A
Weight ID: EFTrwgt28_ctGIm_0p29_ctGRe_m0p734_cQj38_m0p661_cQj18_1p587_cQu8_m0p082_cQd8_0p012_ctj8_m1p487_ctu8_0p55_ctd8_m2p216_cQj31_m1p375_cQj11_m2p582_cQu1_m2p47_cQd1_1p977_ctj1_m0p902_ctu1_m0p738_ctd1_m1p755, Value: 0.0394065, Description: N/A
Weight ID: EFTrwgt29_ctGIm_0p62_ctGRe_0p874_cQj38_0p774_cQj18_0p637_cQu8_m0p863_cQd8_0p883_ctj8_1p665_ctu8_2p702_ctd8_0p353_cQj31_m2p362_cQj11_2p134_cQu1_m0p668_cQd1_m0p907_ctj1_m0p15_ctu1_m0p538_ctd1_2p036, Value: 0.0718689, Description: N/A
Weight ID: EFTrwgt30_ctGIm_m0p432_ctGRe_m0p617_cQj38_m0p672_cQj18_m2p146_cQu8_m1p529_cQd8_0p448_ctj8_m0p523_ctu8_m2p802_ctd8_2p149_cQj31_m2p167_cQj11_1p042_cQu1_m1p603_cQd1_m1p922_ctj1_2p776_ctu1_m2p057_ctd1_m0p12, Value: 0.153939, Description: N/A
